,heatingType,newlyConst,balcony,pricetrend,yearConstructed,hasKitchen,cellar,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,thermalChar,floor,garden,city,SizePerRoom
77037,self_contained_central_heating,False,True,1.75,1951.0,False,True,74.0,well_kept,unknown,unknown,False,ground_floor,37603,3.0,214.3,0.0,True,Holzminden_Kreis,24.666666666666668
256158,gas_heating,False,False,4.49,1951.0,False,True,30.44,well_kept,normal,negotiable,False,apartment,90473,1.0,255.8,0.0,False,Nürnberg,30.44
142135,central_heating,False,True,2.7,1971.0,True,True,83.0,well_kept,normal,negotiable,True,apartment,85057,3.0,94.7,4.0,False,Ingolstadt,27.666666666666668
41586,central_heating,True,False,10.09,2019.0,True,False,36.0,first_time_use,sophisticated,unknown,False,ground_floor,12435,1.0,55.0,0.0,False,Berlin,36.0
116993,central_heating,True,False,5.0,2018.0,False,True,75.0,first_time_use_after_refurbishment,sophisticated,unknown,False,apartment,63450,3.0,61.5,4.0,False,Main_Kinzig_Kreis,25.0
244351,self_contained_central_heating,True,True,4.77,2019.0,True,False,49.0,first_time_use_after_refurbishment,sophisticated,no,False,apartment,45141,2.0,96.7,4.0,False,Essen,24.5
22792,central_heating,False,False,5.11,1997.0,False,False,52.73,unknown,sophisticated,negotiable,False,unknown,4277,2.0,73.0,3.0,False,Leipzig,26.365
206004,central_heating,False,True,5.22,1983.0,True,False,78.89,mint_condition,unknown,unknown,True,apartment,86356,3.0,95.8,2.0,False,Augsburg_Kreis,26.296666666666667
155421,central_heating,False,True,2.64,1976.0,False,False,43.2,unknown,unknown,unknown,True,apartment,1217,2.0,51.0,13.0,False,Dresden,21.6
236320,central_heating,False,True,4.17,1986.0,False,True,57.3,well_kept,unknown,unknown,False,apartment,19063,3.0,68.0,5.0,False,Schwerin,19.099999999999998
7534,floor_heating,False,True,2.91,2009.0,True,False,170.0,well_kept,luxury,unknown,False,penthouse,65812,4.0,62.3,1.0,False,Main_Taunus_Kreis,42.5
95922,combined_heat_and_power_plant,True,True,2.39,2018.0,False,True,78.27,first_time_use,sophisticated,no,True,ground_floor,52076,3.0,39.6,0.0,False,Aachen,26.09
1740,central_heating,False,True,5.19,1950.0,True,False,60.0,unknown,unknown,unknown,False,apartment,38118,3.0,108.0,2.0,False,Braunschweig,20.0
40981,unknown,True,True,2.86,2019.0,False,False,64.77,first_time_use,unknown,unknown,False,unknown,67749,2.0,16.0,1.0,False,Kusel_Kreis,32.385
195934,unknown,False,True,3.21,1918.0,False,False,53.0,first_time_use_after_refurbishment,unknown,unknown,False,ground_floor,45355,2.0,130.8,0.0,False,Essen,26.5
51139,district_heating,False,True,-2.35,2017.0,True,False,94.0,mint_condition,sophisticated,negotiable,True,apartment,38448,3.0,50.3,2.0,False,Wolfsburg,31.333333333333332
232915,electric_heating,False,True,3.7,1973.0,False,True,64.0,unknown,unknown,unknown,True,ground_floor,45219,2.0,93.5,0.0,False,Essen,32.0
239554,central_heating,False,False,4.0,1897.0,False,True,45.0,unknown,unknown,unknown,False,apartment,39114,2.0,112.6,3.0,False,Magdeburg,22.5
181688,district_heating,False,True,1.79,1984.0,False,True,51.46,fully_renovated,unknown,unknown,True,apartment,99099,2.0,125.0,3.0,False,Erfurt,25.73
6072,unknown,False,True,3.07,1984.0,False,True,70.24,well_kept,unknown,unknown,False,apartment,4205,3.0,122.8,5.0,False,Leipzig,23.41333333333333
72706,floor_heating,True,True,5.54,2019.0,False,True,118.41,first_time_use,sophisticated,unknown,True,apartment,80805,4.0,113.2,2.0,True,München,29.6025
